Table S4. Coefficients for analytical approximation to the scattering factors
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=4.
  DATE = 2022-07-29     TIME = 20:53:12
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4             c      Max.Err.  STL Mean.Err.
Pd(2+)      DHF        15.515698      7.289583     19.529568  7.074285E-01      4.742561     20.293164     -1.104561      2.972172      5.311195     0.0138  2.00  0.0035
Pd(4+)      DHF        19.408824  7.039607E-01      4.700227     14.724734    299.106958      5.333158   -286.519117      5.269340      5.301170     0.0132  2.00  0.0022
Ag(1+)      DHF        16.654112      7.273103     21.804591  6.963663E-01     -2.993132      1.202577      5.183650     22.591669      5.339459     0.0118  0.13  0.0048
Ag(2+)      DHF        16.254554      6.859751     20.028708  6.731852E-01      5.032438     18.845615     -1.626151      1.976875      5.304602     0.0092  2.00  0.0031
Ag(3+)      DHF        19.773145  6.672530E-01     16.094192      6.408493      4.914698     16.109806     -2.073837      2.576987      5.288398     0.0085  2.00  0.0022
Cd(2+)      DHF        21.539062  6.562067E-01     17.118879      6.468563      5.268238     17.616523     -3.261712      1.375665      5.329558     0.0070  2.00  0.0029
In(1+)      DHF        18.444279      6.370369     19.168297  5.477947E-01      1.074614     66.250100      4.375930     24.283599      4.938193     0.0275  2.00  0.0088
In(2+)      DHF        20.351734  5.040286E-01     18.904858      6.371074  8.050076E-01 -1.764946E-01      4.143764     24.574755      2.775611     0.0198  0.13  0.0072
In(3+)      DHF        21.942210  6.237907E-01     17.614524      5.803398      5.294650     14.380521     -4.175662      1.362936      5.320774     0.0048  2.00  0.0018
Sn(2+)      DHF        19.369633      5.825717     19.503744  4.807704E-01      4.840438     26.348899  1.180176E-02 -7.825648E-01      4.253343     0.0221  0.13  0.0082
Sn(4+)      DHF        18.122415      5.249547     22.588414  5.959647E-01      5.262075     12.110367     -5.291055      1.286533      5.315975     0.0033  2.00  0.0012
Sb(3+)      DHF        19.670405      5.254942     20.017597  4.216082E-01  7.240662E-02 -5.231407E-01      4.872027     22.058626      3.353684     0.0146  0.14  0.0059
Sb(5+)      DHF        -6.603614      1.189643      5.179681     10.429120     23.470943  5.720603E-01     18.635546      4.781193      5.316045     0.0023  2.00  0.0008
Te(2+)      DHF        19.021335  4.214696E-01     19.913333      4.831025      5.801661     25.036899  8.942838E-01     57.224088      4.370860     0.0361  2.00  0.0086
Te(4+)      DHF         4.902015     18.879680     19.960364      4.764442     20.919425  3.650545E-01  2.402288E-01 -3.828491E-01      1.968334     0.0102  0.15  0.0043
Te(5+)      DHF      -276.190281  1.761443E-01     20.274444      4.781757      3.719812     15.825959    283.449981  1.973484E-01     15.740202     0.0061  0.15  0.0029
Te(6+)      DHF        24.670499  5.518934E-01     19.148796      4.379082      5.059263      9.132821     -8.200995      1.088549      5.321515     0.0016  2.00  0.0005
I(1+)       DHF        19.004023  3.819348E-01      7.397087     26.564355     20.131362      4.356041      1.393893     60.506838      4.075119     0.0372  2.00  0.0086
I(3+)       DHF         6.691299     23.692604     19.640018  3.576336E-01     20.344386      4.359820  2.745876E-03     -1.119116      3.304010     0.0185  0.13  0.0066
