Table S5. Coefficients for analytical approximation to the scattering factors 
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=5.
  DATE = 2022-07-29     TIME = 20:35:31
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4            a5            b5             c      Max.Err.  STL Mean.Err.
 
Ni(3+)      DHF     9.402049E-01     16.687856    138.813651  5.740095E-02     10.529044      3.455985      5.453545      7.425236   -218.568846  2.914285E-02     87.832201     0.0003  2.00  0.0001
Ni(4+)      DHF         9.891425      3.251856     69.227540  4.468868E-01      5.481644      6.494402  8.225327E-01     13.562810    -63.060122  4.714772E-01      1.636880     0.0001  0.15  0.0000
Cu(1+)      DHF         6.124526      7.742220     11.375763      3.297680  2.659474E-01     43.623240      2.011278     19.337345      7.403404  2.232151E-01  8.190966E-01     0.0019  2.00  0.0003
Cu(2+)      DHF         6.059708      7.667164     11.467765      3.271697      7.518630  2.148349E-01      1.289357     19.409789  3.103094E-07     -2.559956  6.638525E-01     0.0007  0.13  0.0003
Cu(3+)      DHF         5.788727      6.919142      8.007341  1.918987E-01     11.081118      3.177973      1.029293     15.664902  1.442543E-03 -9.046497E-01  9.184112E-02     0.0003  0.14  0.0001
Cu(4+)      DHF         5.476854      6.296334     10.724831      3.077024  8.088210E-01     13.156524     56.825355  5.482067E-02     89.307204 -1.904753E-02   -138.143151     0.0001  2.00  0.0000
Zn(2+)      DHF         1.749728     15.369590      6.386211      6.647497      7.421272  2.006281E-01  1.022066E-01     33.468254     11.609261      2.959311  7.313628E-01     0.0011  2.00  0.0002
Ga(1+)      DHF         5.952703      6.142186      7.440317  1.793025E-01      2.163062     21.428330      1.309348     49.577767     12.506625      2.697399  6.273235E-01     0.0007  0.08  0.0003
Ga(2+)      DHF         6.266864      5.927911      1.696882     16.879704     12.173037      2.677592  7.948498E-01     38.333630      7.455607  1.789545E-01  6.125450E-01     0.0006  2.00  0.0001
Ga(3+)      DHF         1.491609     12.535524      6.535796      5.757165  3.604822E-02     28.748628      7.446725  1.803467E-01     11.855730      2.666440  6.341201E-01     0.0006  2.00  0.0001
